Date,Sales
2023-01-01,1000.00
2023-01-02,992.08
2023-01-03,993.04
2023-01-04,994.28
2023-01-05,983.54
2023-01-06,960.12
2023-01-07,980.17
2023-01-08,990.10
2023-01-09,974.48
2023-01-10,964.79
2023-01-11,971.15
2023-01-12,943.84
2023-01-13,946.06
2023-01-14,933.91
2023-01-15,951.56
2023-01-16,955.01
2023-01-17,979.09
2023-01-18,950.94
2023-01-19,965.28
2023-01-20,975.11
2023-01-21,990.27
2023-01-22,997.64
2023-01-23,968.70
2023-01-24,984.69
2023-01-25,980.69
2023-01-26,953.56
2023-01-27,942.69
2023-01-28,957.76
2023-01-29,969.86
2023-01-30,974.25
2023-01-31,951.86
2023-02-01,955.21
2023-02-02,959.55
2023-02-03,974.09
2023-02-04,951.66
2023-02-05,931.87
2023-02-06,926.39
2023-02-07,921.11
2023-02-08,939.00
2023-02-09,911.39
2023-02-10,897.15
2023-02-11,898.99
2023-02-12,892.75
2023-02-13,886.53
2023-02-14,904.62
2023-02-15,896.14
2023-02-16,885.49
2023-02-17,880.83
2023-02-18,865.83
2023-02-19,849.12
2023-02-20,856.47
2023-02-21,847.67
2023-02-22,855.60
2023-02-23,866.52
2023-02-24,868.49
2023-02-25,883.53
2023-02-26,887.69
2023-02-27,896.10
2023-02-28,920.00
2023-03-01,942.37
2023-03-02,917.17
2023-03-03,930.15
2023-03-04,924.17
2023-03-05,901.96
2023-03-06,884.48
2023-03-07,889.69
2023-03-08,890.68
2023-03-09,870.90
2023-03-10,862.42
2023-03-11,853.85
2023-03-12,864.98
2023-03-13,881.75
2023-03-14,884.03
2023-03-15,887.84
2023-03-16,888.95
2023-03-17,904.70
2023-03-18,882.24
2023-03-19,870.50
2023-03-20,877.48
2023-03-21,867.47
2023-03-22,880.49
2023-03-23,857.64
2023-03-24,839.59
2023-03-25,820.54
2023-03-26,816.68
2023-03-27,827.10
2023-03-28,850.59
2023-03-29,860.63
2023-03-30,883.09
2023-03-31,907.57
