Date,Sales
2023-01-01,1000.00
2023-01-02,1000.00
2023-01-03,1010.45
2023-01-04,1031.46
2023-01-05,1063.34
2023-01-06,1106.58
2023-01-07,1161.91
2023-01-08,1230.21
2023-01-09,1312.53
2023-01-10,1410.07
2023-01-11,1524.14
2023-01-12,1656.14
2023-01-13,1807.43
2023-01-14,1979.33
2023-01-15,2172.94
2023-01-16,2389.04
2023-01-17,2627.95
2023-01-18,2889.30
2023-01-19,3171.92
2023-01-20,3473.59
2023-01-21,3790.91
2023-01-22,4119.22
2023-01-23,4452.47
2023-01-24,4783.35
2023-01-25,5103.42
2023-01-26,5403.39
2023-01-27,5673.56
2023-01-28,5904.32
2023-01-29,6086.78
2023-01-30,6213.33
2023-01-31,6278.28
2023-02-01,6278.28
2023-02-02,6212.65
2023-02-03,6083.48
2023-02-04,5895.49
2023-02-05,5655.70
2023-02-06,5372.92
2023-02-07,5057.10
2023-02-08,4718.72
2023-02-09,4368.05
2023-02-10,4014.67
2023-02-11,3666.99
2023-02-12,3331.99
2023-02-13,3015.10
2023-02-14,2720.18
2023-02-15,2449.65
2023-02-16,2204.69
2023-02-17,1985.42
2023-02-18,1791.22
2023-02-19,1620.87
2023-02-20,1472.79
2023-02-21,1345.24
2023-02-22,1236.41
2023-02-23,1144.53
2023-02-24,1067.94
2023-02-25,1005.17
2023-02-26,954.91
2023-02-27,916.07
2023-02-28,887.77
2023-03-01,869.31
2023-03-02,860.22
2023-03-03,860.22
2023-03-04,869.21
2023-03-05,887.28
2023-03-06,914.70
2023-03-07,951.91
2023-03-08,999.50
2023-03-09,1058.25
2023-03-10,1129.06
2023-03-11,1212.97
2023-03-12,1311.10
2023-03-13,1424.65
2023-03-14,1554.79
2023-03-15,1702.66
2023-03-16,1869.21
2023-03-17,2055.11
2023-03-18,2260.62
2023-03-19,2485.44
2023-03-20,2728.55
2023-03-21,2988.05
2023-03-22,3261.02
2023-03-23,3543.44
2023-03-24,3830.11
2023-03-25,4114.74
2023-03-26,4390.07
2023-03-27,4648.11
2023-03-28,4880.52
2023-03-29,5079.03
2023-03-30,5235.98
2023-03-31,5344.84
