Date,Sales
2023-01-01,1000.00
2023-01-02,1010.00
2023-01-03,1020.10
2023-01-04,1030.30
2023-01-05,1040.60
2023-01-06,1051.01
2023-01-07,1061.52
2023-01-08,1072.14
2023-01-09,1082.86
2023-01-10,1093.69
2023-01-11,1104.62
2023-01-12,1115.67
2023-01-13,1126.83
2023-01-14,1138.09
2023-01-15,1149.47
2023-01-16,1160.97
2023-01-17,1172.58
2023-01-18,1184.30
2023-01-19,1196.15
2023-01-20,1208.11
2023-01-21,1220.19
2023-01-22,1232.39
2023-01-23,1244.72
2023-01-24,1257.16
2023-01-25,1269.73
2023-01-26,1282.43
2023-01-27,1295.26
2023-01-28,1308.21
2023-01-29,1321.29
2023-01-30,1334.50
2023-01-31,1347.85
2023-02-01,1361.33
2023-02-02,1374.94
2023-02-03,1388.69
2023-02-04,1402.58
2023-02-05,1416.60
2023-02-06,1430.77
2023-02-07,1445.08
2023-02-08,1459.53
2023-02-09,1474.12
2023-02-10,1488.86
2023-02-11,1503.75
2023-02-12,1518.79
2023-02-13,1533.98
2023-02-14,1549.32
2023-02-15,1564.81
2023-02-16,1580.46
2023-02-17,1596.26
2023-02-18,1612.23
2023-02-19,1628.35
2023-02-20,1644.63
2023-02-21,1661.08
2023-02-22,1677.69
2023-02-23,1694.47
2023-02-24,1711.41
2023-02-25,1728.52
2023-02-26,1745.81
2023-02-27,1763.27
2023-02-28,1780.90
2023-03-01,1798.71
2023-03-02,1816.70
2023-03-03,1834.86
2023-03-04,1853.21
2023-03-05,1871.74
2023-03-06,1890.46
2023-03-07,1909.37
2023-03-08,1928.46
2023-03-09,1947.74
2023-03-10,1967.22
2023-03-11,1986.89
2023-03-12,2006.76
2023-03-13,2026.83
2023-03-14,2047.10
2023-03-15,2067.57
2023-03-16,2088.25
2023-03-17,2109.13
2023-03-18,2130.22
2023-03-19,2151.52
2023-03-20,2173.04
2023-03-21,2194.77
2023-03-22,2216.72
2023-03-23,2238.88
2023-03-24,2261.27
2023-03-25,2283.88
2023-03-26,2306.72
2023-03-27,2329.79
2023-03-28,2353.09
2023-03-29,2376.62
2023-03-30,2400.38
2023-03-31,2424.39
